Key,CompanyName,OperatingAs,Latitude,Longitude,FullAddress,FSA,PhoneNumber,FAXNumber,WebAddress,LineOfBusiness,FacilitySize,IsImporter,IsExporter,IsManufacturing,LocationType,UltimateParent,Immediate Parent,FiscalYear-End,Revenue,TotalEmployees,Employee Growth (%),EmployeesThisLocation,MarketValue,Year of Founding,PrimaryIndustry,PrimaryNAICS,,Cluster
3874,Gateway Mechanical Services Inc,GTW MECHANICAL SERVICES,53.570356,-113.572643,"14605 118 Ave Nw, Edmonton, Alberta, T5L 2M7",T5L,780-426-6055,780-425-0683,www.gatewaymechanical.ca,Gateway Mechanical Services Ltd. is a division of Vector Industries Inc. The company specializes in complicated mechanical installations that incorporate industrial heating or cooling design elements. For example we design and install huge walk in ...,14994,Yes,Yes,No,HEADQUARTERS,Vector Industries Inc,Vector Industries Inc,,5.62302,65,,60,,1968,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
4009,Vg Woodwork,,50.90181,-114.072871,"15 Somervale Pl Sw, Calgary, Alberta, T2Y 3J9",T2Y,403-389-3092,,www.vgwoodwork.com,VG Woodwork provides high quality hardwood floor installation finish carpentry wainscoting door and window casing built-ins and baseboard installation in Calgary for a reasonable price,1076,No,No,No,SINGLE_LOCATION,,,,,1,,1,,,Specialty Contractors,238130,23,"Local Real Estate, Construction, and Development"
4026,Suncor Energy Inc,,51.0476071,-114.0643402,"150 6 Ave Sw, Calgary, Alberta, T2P 3Y7",T2P,403-296-8000,403-296-3030,http://www.suncor.com,,172718,Yes,Yes,Yes,HEADQUARTERS,Suncor Energy Inc,Suncor Energy Inc,December,34817.351,13980,0.24,621,34503.8721,1923,Petroleum Refining,324110,32,Oil and Gas Production and Transportation
4080,Propak Systems Ltd,,55.30043,-114.764731,"1501 Tamarack Rd Ne, Slave Lake, Alberta, T0G 2A0",T0G,,,www.propaksystems.com,Engineers fabricators & constructors to the energy processing industry,1033,No,Yes,No,BRANCH,McPike Investments Ltd,Propak Systems Ltd,,,,,1,,,Specialty Contractors,238290,23,"Local Real Estate, Construction, and Development"
4214,KAEFER Integrated Services Ltd,,53.56765,-113.584491,"15309 116 Ave Nw, Edmonton, Alberta, T5M 3Z5",T5M,,,www.albricokaefer.com,Mechanical insulation for commercial and industrial projects.  Member of :  BBB Alberta Construction Assoc. Can Construction Assoc.,7976,No,No,No,BRANCH,KAEFER Isoliertechnik GmbH & Co. KG,KAEFER Integrated Services Ltd,,,,,,,,Specialty Contractors,238990,23,"Local Real Estate, Construction, and Development"
4274,Sum Canada Enterprises Ltd,,56.756104,-111.470689,"156 Laurier Rd, Fort Mcmurray, Alberta, T9K 2K3",T9K,780-715-0815,,www.sumcan.com,We are the largest manufacturer of removable insulation blankets and covers for the oil and gas industry in Western Canada.  We supply other industries as well servicing instrumentation turbines and engines of all kinds around Canada.,3035,No,Yes,No,SINGLE_LOCATION,,,,0.465923,5,,5,,2009,"Drywall, Plaster, Acoustic & Insulation Contractors",238310,23,"Local Real Estate, Construction, and Development"
4290,Triple Ace Welding Ltd,,53.61832,-113.406891,"15648 44 St Nw, Edmonton, Alberta, T5Y 3H2",T5Y,780-257-9353,,,Portable welding company founded in 2009.  Fabrication of pressure vessels and piping.  Carbon steel stainless steel and alloy welding of all sizes.  Canadian Welding Bureau certified.  Modular plant fabrication Vessel repair and retrofit,1098,No,No,No,SINGLE_LOCATION,,,,0.086508,1,,1,,,Specialty Contractors,238990,23,"Local Real Estate, Construction, and Development"
4540,Romaniuk Heating & Air Conditioning Ltd,,53.58786,-113.604371,"16327 130 Ave Nw Unit 4, Edmonton, Alberta, T5V 1K5",T5V,780-455-8088,,www.romaniukheatingac.com,Romaniuk Heating & Air Conditioning Ltd is a family owned & operated HVAC business. For the past 25 years the Romaniuk family and their skilled employees have been installing and repairing furnaces air conditioners and other HVAC systems in the ...,1163,No,No,No,SINGLE_LOCATION,,,,0.086508,1,,1,,,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
4543,R & D Roofing Ltd,,53.58891,-113.606851,"16369 130 Ave Nw, Edmonton, Alberta, T5V 1K5",T5V,780-455-7105,780-452-7087,www.rdroofingltd.com,R & D Roofing Ltd is dedicated to providing the highest quality in roofing materials and installation services the first time every time. We are your region's premier roofers! We are equipped to handle both residential and commercial roofing ...,4338,No,No,No,SINGLE_LOCATION,,,,1.29762,14,,14,,1992,"Roofing, Siding, & Sheet Metal Contractors",238160,23,"Local Real Estate, Construction, and Development"
4606,Alliance Refractories Ltd.,Alliance Refractories,53.56129,-113.608456,"16689 113 Ave Nw, Edmonton, Alberta, T5M 2X2",T5M,780-413-6111,780-413-9415,www.alliancerefractories.com,Refractory supply and service company,60084,No,Yes,No,SINGLE_LOCATION,,,,1.36971,19,,19,,1997,Concrete & Masonry Contractors,238140,23,"Local Real Estate, Construction, and Development"
4722,National Energy Equipment Inc,,53.56986,-113.620351,"17107 118 Ave Nw, Edmonton, Alberta, T5S 2V3",T5S,780-466-2171,780-637-8622,www.nee.ca,Petroleum equipment upstream and downstream LP Gas Equipment HVAC equipment.,8676,No,No,No,BRANCH,National Energy Equipment Inc,National Energy Equipment Inc,,,,,30,,,Oil & Gas Exploration & Production,211112,21,Forestry
4844,Propak Systems Ltd,,50.0086,-110.726161,"1761 32 St Sw Suite 7, Medicine Hat, Alberta, T1B 3N9",T1B,403-528-2220,,www.propaksystems.com,Engineers fabricators & constructors to the energy processing industry,1033,No,Yes,No,BRANCH,McPike Investments Ltd,Propak Systems Ltd,,,,,1,,,Specialty Contractors,238290,23,"Local Real Estate, Construction, and Development"
4884,Online Sealing Services Ltd,,53.55062,-113.63051,"17872 106 Ave Nw Suite 100, Edmonton, Alberta, T5S 1V4",T5S,780-466-7411,780-466-8342,,Online leak sealing Portable machining Inplace valve repair Valve testing Valve repacking online or offline Line freezing. Consulting. On site service for Oil Gas & Chem  processing plants Pulp & Paper Power Generation Shipping and ...,3703,No,Yes,Yes,BRANCH,Online Sealing Services Ltd,Online Sealing Services Ltd,,,,,6,,,Electronic Equipment Repair Services,811310,81,Local Commercial Services
4949,Maidpro,,53.54892,-113.63348,"18012 105 Avenue Nw Suite 101, Edmonton, Alberta, T5S 2P1",T5S,780-669-4879,,www.maidpro.com,We provide premium professional house cleaning and maid services to Calgary and the surrounding areas.,1184,No,No,No,SINGLE_LOCATION,,,,,5,,5,,,Laundry Facilities & Dry Cleaning Services,812320,81,Local Commercial Services
5084,Cat Creek Electric Inc,,50.73801,-113.96241,"185 Crystal Shores Grove, Okotoks, Alberta, T1S 1Y2",T1S,587-437-1573,,,Cat Creek Electric offers residential commercial and electrical services in High River Okotoks Calgary. We are equipped with licensed and insured electricians.,1389,No,No,No,SINGLE_LOCATION,,,,,1,,1,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
5219,ACL Masonry,,51.03711,-114.124191,"1915 26 Street Sw Suite 306, Calgary, Alberta, T3E 2A2",T3E,403-689-0665,,www.aclmasonry.ca,We offer a unique and reliable service in masonry and delivering what we promise both on time and on budget. Our main goal is customer satisfaction. We offer the highest level of quality workmanship and attention to detail at a competitive rate.,1033,No,No,No,SINGLE_LOCATION,,,,0.07897,1,,1,,,Concrete & Masonry Contractors,238140,23,"Local Real Estate, Construction, and Development"
5403,Medicine Hat College,Brooks Campus,50.5603007,-111.8487949,"200 Horticultural Station Rd E, Brooks, Alberta, T1R 1E5",T1R,403-362-1677,403-362-1474,www.acac.ab.ca,Medicine Hat College  Founded in 1965 MHC strives to provide the broadest possible range of relevant learning opportunities to the people and communities it serves. As a result you’ll find we offer a wide choice of programs leading to ...,12325,No,Yes,No,BRANCH,Medicine Hat College,Medicine Hat College,,,,,40,,,Community Colleges,611210,61,Education and Knowledge Creation
5588,Pyramid Corporation,,51.04825,-114.065951,"205 5 Ave Sw Suite 3300, Calgary, Alberta, T2P 2V7",T2P,403-205-3880,403-205-3882,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,6921,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,20,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
5835,Western Energy Services Corp,Horizon Drilling,51.04446,-114.068061,"215 9 Ave Sw Suite 1700, Calgary, Alberta, T2P 1K3",T2P,403-290-0308,,www.wesc.ca,,2788,No,Yes,No,BRANCH,Western Energy Services Corp,Western Energy Services Corp,,,,,5,,,Oil & Gas Well Drilling,213111,21,Oil and Gas Production and Transportation
5836,Western Energy Services Corp,,51.04446,-114.068061,"215 9 Ave Sw Suite 1700, Calgary, Alberta, T2P 1K3",T2P,403-984-5916,403-984-5917,www.wesc.ca,,44057,No,Yes,No,HEADQUARTERS,Western Energy Services Corp,Western Energy Services Corp,,436.6847368,1420,-1.11,80,184.275,1996,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
5842,EnCana Corporation,EnCana Oil & Gas,51.0258815,-113.9680123,"215 Erin Croft Crescent Se, Calgary, Alberta, T2B 2X5",T2B,780-568-4444,780-568-2022,www.encana.ca,Large international oil company involved in exploration and oil and gas production.,10419,No,No,No,BRANCH,EnCana Corporation,EnCana Corporation,,,,,,,,Oil & Gas Exploration & Production,211111,21,Forestry
5911,KAEFER Integrated Services Ltd,,58.49873,-119.414781,"22 Milne Rd, Rainbow Lake, Alberta, T0H 2Y0",T0H,780-956-3100,780-956-3102,www.albricokaefer.com,Mechanical insulation for commercial and industrial projects.  Member of :  BBB Alberta Construction Assoc. Can Construction Assoc.,2874,No,No,No,BRANCH,KAEFER Isoliertechnik GmbH & Co. KG,KAEFER Integrated Services Ltd,,,,,5,,,Specialty Contractors,238990,23,"Local Real Estate, Construction, and Development"
6055,EnCana Corporation,,50.567198,-111.854266,"2249 College Dr E, Brooks, Alberta, T1R 1G5",T1R,403-793-4400,403-793-4467,www.encana.ca,Large international oil company involved in exploration and oil and gas production.,27028,No,No,No,BRANCH,EnCana Corporation,EnCana Corporation,,,,,180,,,Oil & Gas Exploration & Production,211111,21,Forestry
6187,Pyramid Corporation,,53.348411,-113.516118,"2308 8 St, Nisku, Alberta, T9E 7Z2",T9E,780-979-0350,780-955-3032,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,44692,Yes,Yes,Yes,HEADQUARTERS,PTW Energy Services Ltd,1671491 Alberta Ltd.,,110.51397,1300,,250,,1993,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
6269,Pyramid Corporation,,50.9977451,-113.8972932,"235038 Wrangler Rd, Rocky View, Alberta, T1X 0K3",T1X,403-720-0505,403-720-0685,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,8956,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
6317,High Velocity Heating Ltd,,50.73369,-113.959681,"24 Crystal Shores Bay, Okotoks, Alberta, T1S 1X8",T1S,403-938-1737,403-714-7899,,,3563,No,No,No,SINGLE_LOCATION,,,,0.519048,6,,6,,2000,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
6430,Nexus Exhibits Ltd,Nexus Exhibits Management,51.05087,-114.003781,"2424 2 Ave Se, Calgary, Alberta, T2E 6J9",T2E,403-262-8030,403-266-3414,www.nexusexhibits.com,Nexus Exhibits is a full-service exhibit studio located in Calgary AB. Offering enhanced  trade show exhibits and displays banner stands full management planning and execution   of corporate meetings and face-to-face events. Nexus Exhibits ...,4026,Yes,Yes,No,HEADQUARTERS,Nexus Exhibits Ltd,Nexus Exhibits Ltd,,0.64881,9,,9,,1979,Specialty Contractors,238130,23,"Local Real Estate, Construction, and Development"
6487,Pyramid Corporation,,53.949109,-113.59271,"246 Wellside Rd, Red Earth Creek, Alberta, T0G 1X0",T0G,780-649-3595,780-649-3557,,Pyramid Corporation has over 38 years of extensive electrical  instrumentation and metals manufacturing experience throughout  Canada in the petroleum petro chemical mining and wood products  sectors of industry.  Our firm offers a broad ...,3875,No,Yes,No,BRANCH,PTW Energy Services Ltd,Pyramid Corporation,,,,,8,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
6535,Phoenix Technology Services LP,,51.050845,-114.067438,"250 2 St Sw Suite 1400, Calgary, Alberta, T2P 0C1",T2P,403-543-4466,403-543-4485,www.phxtech.com,Phoenix Technology Services Ltd. is a world leader in developing horizontal and re-entry drilling technology.  Phoenix Technology Services Ltd. provides equipment and expertise in the following: (Well Director   Automatic Directional Drilling ...,13261,No,Yes,No,SINGLE_LOCATION,,,,11.0558,50,,50,,2000,Oil & Gas Well Drilling,213111,21,Oil and Gas Production and Transportation
6760,Charlton & Hill Limited,,49.70502,-112.803431,"2620 5 Ave N, Lethbridge, Alberta, T1H 6J6",T1H,403-394-7293,403-328-7332,www.charltonandhill.com,Providing industrial commercial and residential roofing and hvac services metal fabrication and plant services manufacturers of oil field services equipment and structural steel,19590,No,Yes,Yes,SINGLE_LOCATION,,,,12.11112,140,,140,,1941,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
6816,Entrec Corporation,,53.56641,-113.8003,"26420 Township Rd 531a, Acheson, Alberta, T7X 5A3",T7X,780-962-1600,780-962-1722,www.entrec.com,ENTREC is a leading provider of heavy lift and heavy haul services with offerings encompassing crane services heavy haul transportation engineering logistics and support. ENTREC provides these services to the oilsands oil and natural gas ...,654241,No,No,No,HEADQUARTERS,Entrec Corporation,Entrec Corporation,,199.6988765,700,0,120,6982.495,2007,Truckload Carriers,484121,48,Transportation and Logistics
7202,Shell Canada Limited,,53.4051064,-117.5862051,"294 Kelley Rd, Hinton, Alberta, T7V 1H2",T7V,,,www.shell.ca,,1001,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,1,,,Oil & Gas Exploration & Production,211111,21,Forestry
7300,Flint Energy Services Ltd.,URS Flint,51.04878,-114.068001,"300 5 Ave Sw Suite 700, Calgary, Alberta, T2P 3C4",T2P,403-218-7100,403-215-5481,http://www.flintenergy.com,,13024,No,No,No,HEADQUARTERS,AECOM,"AECOM Global II, LLC",December,1584.508754,10000,,40,1199.62,1998,Oil & Gas Field Services,213112,21,Oil and Gas Production and Transportation
7381,Gateway Mechanical Services Inc,,49.71535,-112.795181,"3030 12 Ave N, Lethbridge, Alberta, T1H 5J9",T1H,403-328-4333,,www.gatewaymechanical.ca,Gateway Mechanical Services Ltd. is a division of Vector Industries Inc. The company specializes in complicated mechanical installations that incorporate industrial heating or cooling design elements. For example we design and install huge walk in ...,1033,No,Yes,No,BRANCH,Vector Industries Inc,Gateway Mechanical Services Inc,,,,,1,,,Plumbing & HVAC Contractors,238220,23,"Local Real Estate, Construction, and Development"
7438,Shell Canada Limited,,53.54406,-113.909731,"308 Calahoo Rd, Spruce Grove, Alberta, T7X 2H6",T7X,780-962-5453,780-960-9650,www.shell.ca,,1001,No,Yes,No,BRANCH,ROYAL DUTCH SHELL PLC,Shell Canada Limited,,,,,1,,,Oil & Gas Exploration & Production,211111,21,Forestry
7738,Qsine Corporation Limited,,51.01255,-113.988041,"3250 46 Ave Se, Calgary, Alberta, T2B 3K7",T2B,403-248-9066,403-273-8133,www.qsine.ca,,3660,No,Yes,No,SINGLE_LOCATION,384594 Alberta Ltd,384594 Alberta Ltd,,0.410644,5,,5,,1968,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
7852,Flint Energy Services Ltd.,,54.1302359,-115.644271,"3315 41 Ave, Whitecourt, Alberta, T7S 0C9",T7S,780-778-5000,780-778-2633,,,2874,No,No,No,BRANCH,AECOM,Flint Energy Services Ltd.,,,,,5,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
7880,Weatherford Canada Partnership,"WEATHERFORD COMPLETION SERVICES, DIV OF",51.04829,-114.069831,"333 5 Ave Sw Suite 1200, Calgary, Alberta, T2P 3B6",T2P,403-693-7500,403-693-7724,,Weatherford International Ltd. is the fourth largest diversified upstream oilfield service company in the world.  Our broad portfolio of products and services offers everything for the life cycle of a well - from drilling evaluation completion ...,17868,Yes,Yes,Yes,HEADQUARTERS,Weatherford Canada Partnership,Weatherford Canada Partnership,,144.18,800,,20,,1992,Oil & Gas Field Equipment Manufacturing,333132,33,Production Technology and Heavy Machinery
8054,Bluewave Energy,,56.6840095,-111.3538018,"345 Sakitawaw Trl, Fort Mcmurray, Alberta, T9H 5E7",T9H,250-426-3763,,www.bluewaveenergy.ca,Bulk fuel and Fertilizer wholesaler.,1033,No,No,No,SINGLE_LOCATION,,,,0.094764,1,,1,,,Electrical Contractors,238210,23,"Local Real Estate, Construction, and Development"
