REIR,Cluster,LQ
Mackenzie,Financial Services,0.134057424
Mackenzie,Fishing and Fishing Products,0
Mackenzie,Food Processing and Manufacturing,0.367841107
Mackenzie,Footwear,0
Mackenzie,Forestry,36.74302905
Mackenzie,Furniture,1.149738803
Mackenzie,Grand Total,1
Mackenzie,Hospitality and Tourism,1.192080925
Mackenzie,Information Technology and Analytical Instruments,0
Mackenzie,Insurance Services,0
Mackenzie,Jewelry and Precious Metals,0
Mackenzie,Leather and Related Products,0
Mackenzie,Lighting and Electrical Equipment,0
Mackenzie,Livestock Processing,0.157693249
Mackenzie,Local Commercial Services,0.44443045
Mackenzie,Local Community and Civic Organizations,1.759075255
Mackenzie,Local Education and Training,4.013864794
Mackenzie,Local Entertainment and Media,0.531519011
Mackenzie,Local Financial Services,0.368630293
Mackenzie,Local Food and Beverage Processing and Distribution,1.239545088
Mackenzie,Local Health Services,0.512931013
Mackenzie,Local Hospitality Establishments,0.558935646
Mackenzie,Local Household Goods and Services,0.540322249
Mackenzie,Local Industrial Products and Services,0.334513401
Mackenzie,Local Logistical Services,2.960751837
Mackenzie,Local Motor Vehicle Products and Services,1.640849141
Mackenzie,Local Personal Services (Non-Medical),0.299808598
Mackenzie,"Local Real Estate, Construction, and Development",0.977935675
Mackenzie,Local Retailing of Clothing and General Merchandise,0.531907832
Mackenzie,Local Utilities,0.366671086
Mackenzie,"Marketing, Design, and Publishing",0.493099015
Mackenzie,Medical Devices,0
Mackenzie,Metal Mining,0
Mackenzie,Metalworking Technology,0.448135318
Mackenzie,Music and Sound Recording,0
Mackenzie,Nonmetal Mining,0
Mackenzie,Oil and Gas Production and Transportation,1.134953011
Mackenzie,Paper and Packaging,0
Mackenzie,Performing Arts,0.397220812
Mackenzie,Plastics,0
Mackenzie,Printing Services,0.079814338
Mackenzie,Production Technology and Heavy Machinery,0.015101433
Mackenzie,Recreational and Small Electric Goods,0
Mackenzie,Textile Manufacturing,3.085007017
Mackenzie,"Trailers, Motor Homes, and Appliances",0
Mackenzie,Transportation and Logistics,1.097488738
Mackenzie,Upstream Chemical Products,0
Mackenzie,Upstream Metal Manufacturing,0
Mackenzie,Video Production and Distribution,0
Mackenzie,Vulcanized and Fired Materials,0
Mackenzie,Water Transportation,2.180071625
Mackenzie,Wood Products,14.37772721
North Central,Aerospace Vehicles and Defense,0
North Central,Agricultural Inputs and Services,1.675583703
North Central,Apparel,0.513180133
North Central,Automotive,0
North Central,Biopharmaceuticals,0.364852321
North Central,Business Services,0.251236776
North Central,Coal Mining,0.483657797
North Central,Communications Equipment and Services,0
North Central,Construction Products and Services,0.557066088
North Central,Distribution and Electronic Commerce,0.839053593
North Central,Downstream Chemical Products,1.18644752
North Central,Downstream Metal Products,0.305204521
North Central,Education and Knowledge Creation,1.871008648
North Central,Electric Power Generation and Transmission,0
North Central,Environmental Services,1.02237904
North Central,Financial Services,0.19723364
North Central,Fishing and Fishing Products,0
North Central,Food Processing and Manufacturing,0.829433679
North Central,Footwear,0
North Central,Forestry,8.181686651
North Central,Furniture,0.866796963
North Central,Grand Total,1
North Central,Hospitality and Tourism,0.773289601
North Central,Information Technology and Analytical Instruments,0
North Central,Insurance Services,0.045137916
North Central,Jewelry and Precious Metals,1.307387483
North Central,Leather and Related Products,0
North Central,Lighting and Electrical Equipment,0.094591342
North Central,Livestock Processing,0.317750278
North Central,Local Commercial Services,0.875192542
North Central,Local Community and Civic Organizations,1.446742277
North Central,Local Education and Training,1.66473167
North Central,Local Entertainment and Media,0.672276085
North Central,Local Financial Services,0.730235336
North Central,Local Food and Beverage Processing and Distribution,1.233676715
North Central,Local Health Services,1.50174037
North Central,Local Hospitality Establishments,0.660148027
North Central,Local Household Goods and Services,0.967772252
North Central,Local Industrial Products and Services,0.25677755
North Central,Local Logistical Services,2.256227228
North Central,Local Motor Vehicle Products and Services,1.833205727
North Central,Local Personal Services (Non-Medical),0.803376745
North Central,"Local Real Estate, Construction, and Development",1.059268889
North Central,Local Retailing of Clothing and General Merchandise,0.545818381
North Central,Local Utilities,0.760199449
North Central,"Marketing, Design, and Publishing",0.788563058
North Central,Medical Devices,0.477480646
North Central,Metal Mining,0
North Central,Metalworking Technology,0.085998863
North Central,Music and Sound Recording,0
North Central,Nonmetal Mining,4.561879842
North Central,Oil and Gas Production and Transportation,0.845569536
North Central,Paper and Packaging,22.13008535
North Central,Performing Arts,0.207895028
North Central,Plastics,0.957824354
North Central,Printing Services,0.076583367
North Central,Production Technology and Heavy Machinery,0.623074758
North Central,Recreational and Small Electric Goods,0.23217875
North Central,Textile Manufacturing,1.480061301
North Central,"Trailers, Motor Homes, and Appliances",6.149950719
North Central,Transportation and Logistics,1.144631749
North Central,Upstream Chemical Products,0
North Central,Upstream Metal Manufacturing,1.091293957
North Central,Video Production and Distribution,0.344265042
North Central,Vulcanized and Fired Materials,0
North Central,Water Transportation,0
North Central,Wood Products,0.883375968
Northeast,Aerospace Vehicles and Defense,0
Northeast,Agricultural Inputs and Services,1.30049417
Northeast,Apparel,0.360726032
Northeast,Automotive,0
Northeast,Biopharmaceuticals,0
Northeast,Business Services,0.340141675
Northeast,Coal Mining,0.860559461
Northeast,Communications Equipment and Services,0.229950906
Northeast,Construction Products and Services,1.017748627
Northeast,Distribution and Electronic Commerce,0.920820816
Northeast,Downstream Chemical Products,0.078185723
Northeast,Downstream Metal Products,0.82083043
Northeast,Education and Knowledge Creation,0.744752922
Northeast,Electric Power Generation and Transmission,0.302726945
Northeast,Environmental Services,1.16781205
Northeast,Financial Services,0.23357831
Northeast,Fishing and Fishing Products,0
Northeast,Food Processing and Manufacturing,0.713278777
Northeast,Footwear,0
Northeast,Forestry,1.607692282
Northeast,Furniture,0.11078025
Northeast,Grand Total,1
Northeast,Hospitality and Tourism,0.747399009
Northeast,Information Technology and Analytical Instruments,0.053194164
Northeast,Insurance Services,0.372809539
Northeast,Jewelry and Precious Metals,0
Northeast,Leather and Related Products,0
Northeast,Lighting and Electrical Equipment,0
Northeast,Livestock Processing,0.281851382
Northeast,Local Commercial Services,1.020383557
Northeast,Local Community and Civic Organizations,0.867319084
Northeast,Local Education and Training,1.658015576
Northeast,Local Entertainment and Media,0.928821308
Northeast,Local Financial Services,0.711801472
Northeast,Local Food and Beverage Processing and Distribution,1.024550483
Northeast,Local Health Services,1.123246314
Northeast,Local Hospitality Establishments,0.925324537
Northeast,Local Household Goods and Services,1.108474384
Northeast,Local Industrial Products and Services,1.207058993
Northeast,Local Logistical Services,1.983759275
Northeast,Local Motor Vehicle Products and Services,1.778515555
Northeast,Local Personal Services (Non-Medical),0.848300779
Northeast,"Local Real Estate, Construction, and Development",0.950917432
Northeast,Local Retailing of Clothing and General Merchandise,1.438340531
Northeast,Local Utilities,0.55865071
Northeast,"Marketing, Design, and Publishing",0.642062982
Northeast,Medical Devices,0.906206528
Northeast,Metal Mining,4.288631716
Northeast,Metalworking Technology,1.012546956
Northeast,Music and Sound Recording,0
Northeast,Nonmetal Mining,3.56032407
Northeast,Oil and Gas Production and Transportation,1.664071037
Northeast,Paper and Packaging,0
Northeast,Performing Arts,0.066978157
Northeast,Plastics,0.231438833
Northeast,Printing Services,0.484489775
Northeast,Production Technology and Heavy Machinery,1.492165436
Northeast,Recreational and Small Electric Goods,0
Northeast,Textile Manufacturing,0.624221328
Northeast,"Trailers, Motor Homes, and Appliances",2.058543224
Northeast,Transportation and Logistics,1.013780615
Northeast,Upstream Chemical Products,0.608316556
Northeast,Upstream Metal Manufacturing,0
Northeast,Video Production and Distribution,0.120995879
Northeast,Vulcanized and Fired Materials,0.047185435
Northeast,Water Transportation,1.837985021
Northeast,Wood Products,0.435982755
Palliser,Aerospace Vehicles and Defense,4.013582757
Palliser,Agricultural Inputs and Services,1.524089798
Palliser,Apparel,0
Palliser,Automotive,0
Palliser,Biopharmaceuticals,0
Palliser,Business Services,0.29162441
Palliser,Coal Mining,0.835461554
Palliser,Communications Equipment and Services,0.349426128
Palliser,Construction Products and Services,0.854200475
Palliser,Distribution and Electronic Commerce,0.949421171
Palliser,Downstream Chemical Products,0.623744907
Palliser,Downstream Metal Products,0.50494712
Palliser,Education and Knowledge Creation,0.708531783
Palliser,Electric Power Generation and Transmission,0.144904503
Palliser,Environmental Services,0.904348313
Palliser,Financial Services,0.853569161
Palliser,Fishing and Fishing Products,0
Palliser,Food Processing and Manufacturing,0.763425621
Palliser,Footwear,0
Palliser,Forestry,0
Palliser,Furniture,3.692918518
Palliser,Hospitality and Tourism,1.047533226
Palliser,Information Technology and Analytical Instruments,0.266746162
Palliser,Insurance Services,1.346966952
Palliser,Jewelry and Precious Metals,0
Palliser,Leather and Related Products,0
Palliser,Lighting and Electrical Equipment,1.136663231
Palliser,Livestock Processing,9.297178563
Palliser,Local Commercial Services,1.02834342
Palliser,Local Community and Civic Organizations,0.879807522
Palliser,Local Education and Training,2.100457812
Palliser,Local Entertainment and Media,1.111173885
Palliser,Local Financial Services,0.669544833
Palliser,Local Food and Beverage Processing and Distribution,1.172326519
Palliser,Local Health Services,0.927983626
Palliser,Local Hospitality Establishments,1.045977641
Palliser,Local Household Goods and Services,1.164660589
Palliser,Local Industrial Products and Services,1.272803693
Palliser,Local Logistical Services,1.026837248
Palliser,Local Motor Vehicle Products and Services,1.297863644
Palliser,Local Personal Services (Non-Medical),1.063748158
Palliser,"Local Real Estate, Construction, and Development",0.859482983
Palliser,Local Retailing of Clothing and General Merchandise,1.360987796
Palliser,Local Utilities,0.452974603
Palliser,"Marketing, Design, and Publishing",0.773858719
Palliser,Medical Devices,0.382511887
Palliser,Metal Mining,4.887651891
Palliser,Metalworking Technology,0.551152602
Palliser,Music and Sound Recording,0
Palliser,Nonmetal Mining,0.429946165
Palliser,Oil and Gas Production and Transportation,1.237484244
Palliser,Paper and Packaging,0
Palliser,Performing Arts,0.235939656
Palliser,Plastics,0.239786683
Palliser,Printing Services,0.736215348
Palliser,Production Technology and Heavy Machinery,0.354046825
Palliser,Recreational and Small Electric Goods,4.649985943
Palliser,Textile Manufacturing,0.118568375
Palliser,"Trailers, Motor Homes, and Appliances",4.692145816
Palliser,Transportation and Logistics,0.676723586
Palliser,Upstream Chemical Products,4.506345715
Palliser,Upstream Metal Manufacturing,0
Palliser,Video Production and Distribution,0.827376809
Palliser,Vulcanized and Fired Materials,10.80900033
Palliser,Water Transportation,0
Palliser,Wood Products,0.436651427
Peace Country,Aerospace Vehicles and Defense,0.10431102
Peace Country,Agricultural Inputs and Services,0.85398431
Peace Country,Apparel,0
Peace Country,Automotive,0.130388775
Peace Country,Biopharmaceuticals,0
Peace Country,Business Services,0.523773377
Peace Country,Coal Mining,0.715907234
Peace Country,Communications Equipment and Services,0.195502605
Peace Country,Construction Products and Services,1.210283817
Peace Country,Distribution and Electronic Commerce,1.324536332
Peace Country,Downstream Chemical Products,2.045651098
Peace Country,Downstream Metal Products,0.752864411
Peace Country,Education and Knowledge Creation,0.562872811
Peace Country,Electric Power Generation and Transmission,0.251066399
Peace Country,Environmental Services,3.691833251
Peace Country,Financial Services,0.44300723
Peace Country,Fishing and Fishing Products,0
Peace Country,Food Processing and Manufacturing,0.270977335
Peace Country,Footwear,0
Peace Country,Forestry,4.713529948
Peace Country,Furniture,0.191407354
Peace Country,Grand Total,1
Peace Country,Hospitality and Tourism,0.913318843
Peace Country,Information Technology and Analytical Instruments,0.007877955
Peace Country,Insurance Services,0.904543324
Peace Country,Jewelry and Precious Metals,0
Peace Country,Leather and Related Products,0
Peace Country,Lighting and Electrical Equipment,0.02461776
Peace Country,Livestock Processing,0.098447298
Peace Country,Local Commercial Services,1.09304856
Peace Country,Local Community and Civic Organizations,0.711858569
Peace Country,Local Education and Training,1.201398336
Peace Country,Local Entertainment and Media,1.067874163
Peace Country,Local Financial Services,0.76464042
Peace Country,Local Food and Beverage Processing and Distribution,0.992340235
Peace Country,Local Health Services,0.818889656
Peace Country,Local Hospitality Establishments,0.836190497
Peace Country,Local Household Goods and Services,1.746199064
Peace Country,Local Industrial Products and Services,0.392610645
Peace Country,Local Logistical Services,2.101990588
Peace Country,Local Motor Vehicle Products and Services,1.588065625
Peace Country,Local Personal Services (Non-Medical),0.748677487
Peace Country,"Local Real Estate, Construction, and Development",1.036155753
Peace Country,Local Retailing of Clothing and General Merchandise,1.032485642
Peace Country,Local Utilities,0.268153319
Peace Country,"Marketing, Design, and Publishing",0.701190763
Peace Country,Medical Devices,0.024853234
Peace Country,Metal Mining,0
Peace Country,Metalworking Technology,0.402867621
Peace Country,Music and Sound Recording,0
Peace Country,Nonmetal Mining,2.584007635
Peace Country,Oil and Gas Production and Transportation,1.334149367
Peace Country,Paper and Packaging,7.919229607
Peace Country,Performing Arts,0.297580138
Peace Country,Plastics,0.405075884
Peace Country,Printing Services,0.418553425
Peace Country,Production Technology and Heavy Machinery,0.175356473
Peace Country,Recreational and Small Electric Goods,0
Peace Country,Textile Manufacturing,0.385191639
Peace Country,"Trailers, Motor Homes, and Appliances",0
Peace Country,Transportation and Logistics,1.645570926
Peace Country,Upstream Chemical Products,0.94595053
Peace Country,Upstream Metal Manufacturing,0.757369184
Peace Country,Video Production and Distribution,0.0895963
Peace Country,Vulcanized and Fired Materials,0.034940366
Peace Country,Water Transportation,0.544404183
Peace Country,Wood Products,2.993617386
Slave Lake,Aerospace Vehicles and Defense,0
Slave Lake,Agricultural Inputs and Services,0.305817799
Slave Lake,Apparel,0
Slave Lake,Automotive,0
Slave Lake,Biopharmaceuticals,0
Slave Lake,Business Services,0.277708996
Slave Lake,Coal Mining,0.926881305
Slave Lake,Communications Equipment and Services,0
Slave Lake,Construction Products and Services,0.838461911
Slave Lake,Distribution and Electronic Commerce,1.294813592
Slave Lake,Downstream Chemical Products,0
Slave Lake,Downstream Metal Products,0.11625215
Slave Lake,Education and Knowledge Creation,1.448484829
Slave Lake,Electric Power Generation and Transmission,0
Slave Lake,Environmental Services,3.109978002
Slave Lake,Financial Services,0.381891165
Slave Lake,Fishing and Fishing Products,0
Slave Lake,Food Processing and Manufacturing,0
Slave Lake,Footwear,0
Slave Lake,Forestry,10.96877551
Slave Lake,Furniture,0
Slave Lake,Grand Total,1
Slave Lake,Hospitality and Tourism,1.234942831
Slave Lake,Information Technology and Analytical Instruments,0
Slave Lake,Insurance Services,0.03295324
Slave Lake,Jewelry and Precious Metals,0
Slave Lake,Leather and Related Products,0
Slave Lake,Lighting and Electrical Equipment,0
Slave Lake,Livestock Processing,0
Slave Lake,Local Commercial Services,0.937595003
Slave Lake,Local Community and Civic Organizations,1.017696531
Slave Lake,Local Education and Training,1.432140506
Slave Lake,Local Entertainment and Media,0.925185631
Slave Lake,Local Financial Services,0.174927781
Slave Lake,Local Food and Beverage Processing and Distribution,1.113473961
Slave Lake,Local Health Services,0.918236283
Slave Lake,Local Hospitality Establishments,0.588016252
Slave Lake,Local Household Goods and Services,0.851619375
Slave Lake,Local Industrial Products and Services,0.374924368
Slave Lake,Local Logistical Services,2.528220435
Slave Lake,Local Motor Vehicle Products and Services,1.708254304
Slave Lake,Local Personal Services (Non-Medical),0.420033804
Slave Lake,"Local Real Estate, Construction, and Development",0.867785223
Slave Lake,Local Retailing of Clothing and General Merchandise,0.783156671
Slave Lake,Local Utilities,0.311894499
Slave Lake,"Marketing, Design, and Publishing",0.057569578
Slave Lake,Medical Devices,0
Slave Lake,Metal Mining,0
Slave Lake,Metalworking Technology,0
Slave Lake,Music and Sound Recording,0
Slave Lake,Nonmetal Mining,1.959077163
Slave Lake,Oil and Gas Production and Transportation,1.394322013
Slave Lake,Paper and Packaging,4.039054554
Slave Lake,Performing Arts,0
Slave Lake,Plastics,0
Slave Lake,Printing Services,0.615012247
Slave Lake,Production Technology and Heavy Machinery,0.105786031
Slave Lake,Recreational and Small Electric Goods,1.695036636
Slave Lake,Textile Manufacturing,0
Slave Lake,"Trailers, Motor Homes, and Appliances",0
Slave Lake,Transportation and Logistics,1.437311354
Slave Lake,Upstream Chemical Products,0.631798526
Slave Lake,Upstream Metal Manufacturing,0
Slave Lake,Video Production and Distribution,0
Slave Lake,Vulcanized and Fired Materials,0
Slave Lake,Water Transportation,0
Slave Lake,Wood Products,10.31863343
South Central,Aerospace Vehicles and Defense,6.10389076
South Central,Agricultural Inputs and Services,2.428758547
South Central,Apparel,0.153240431
